Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
2878.2457,80759.7088,33585.5723,2575.7788,17401.0598,66396.4234,1746.2918,54784.7142,2141.4644,1316.9349,927.8661,1445.2042,269604.0588,154.2775,1407.3979,355.672,1727.447,01779779,08,1181621593,00,CO,08,A,+38.9938482,8,4,Colorado,-105.5083165,G4000,268422891711,0000000000000000001a
3699.0018,59112.5202,4488.2747,2840.9538,630.3292,148220.0684,2442.3913,27966.3158,403.9006,78.6243,1584.6223,262.4742,253326.2929,37.5779,244.8297,44.2541,1270.1546,01779807,56,1867670745,00,WY,56,A,+42.9896591,8,4,Wyoming,-107.5443922,G4000,251458544898,0000000000000000001e
1054.2211,31732.9102,1596.6511,1421.9856,582.0309,208794.2405,9232.7022,27406.1293,314.3025,76.9318,1230.8828,532.0529,286376.23180000007,0,962.8019,299.9587,1138.4303,01779793,32,2047206072,00,NV,32,A,+39.3310928,8,4,Nevada,-116.6151469,G4000,284329506470,00000000000000000027
7192.232,134426.6545,56291.9632,3291.316,534.248,92528.4469,1554.5399,77699.0722,700.828,169.3429,3609.0931,535.1164,380824.96020000003,28.9282,384.2319,67.4533,1811.4937,00767982,30,3869208832,00,MT,30,A,+47.0511771,8,4,Montana,-109.6348174,G4000,376962738765,0000000000000000002e
73.0658,25487.9385,5143.8632,285.3945,57.7395,212761.8474,6588.8976,37917.968,1372.6288,50.2217,553.2538,1509.3946,295218.716,0,2030.9977,456.7925,928.7124,01779777,04,1027337603,00,AZ,04,A,+34.2039355,8,4,Arizona,-111.6063565,G4000,294198551143,00000000000000000037
2622.1115,67997.3499,41270.3293,3723.4758,672.0631,167989.8919,18577.3076,74692.3684,5560.896,5499.368,18663.3861,4113.7672,423891.27890000003,53.4137,9110.7037,2353.1655,991.6812,01779778,06,20463871877,00,CA,06,A,+37.1551773,9,4,California,-119.5434183,G4000,403503931312,0000000000000000000d
8802.1576,41597.7583,12452.842,3714.3783,296.9324,82799.3606,1530.8858,88135.0902,1427.1022,4895.8055,5414.4045,1135.66,254797.0425,29.2402,1003.4987,339.106,1222.8202,01155107,41,6192386935,00,OR,41,A,+43.9717125,9,4,Oregon,-120.6229578,G4000,248606993270,00000000000000000010
4049.0513,26687.1484,26132.6345,1396.0693,1227.6936,27323.3473,2157.6941,71031.6265,1833.4494,3096.6135,12494.5843,2519.2139,184649.36110000004,312.1177,1967.6009,559.2386,1861.2778,01779804,53,12559278850,00,WA,53,A,+47.4073238,9,4,Washington,-120.5757999,G4000,172112588220,00000000000000000013
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01779782,15,11777809026,00,HI,15,A,+19.5977643,9,4,Hawaii,-155.5024434,G4000,16633990195,0000000000000000001f
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01785533,02,245481577452,00,AK,02,A,+63.3473560,9,4,Alaska,-152.8397334,G4000,1478839695958,00000000000000000028
